title	year	citations	authors	authororder	openaccess	oastatus	relatedworks	concepts	topics	domain	field	subfield	languages	worktype
The Unintended Reader: Feminism and Manon Lescaut.	1989	11	Peggy Kamuf; Naomi Segal	1. Peggy Kamuf; 2. Naomi Segal	False	closed	https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914; https://openalex.org/W4235493931	Feminism; Sociology; Gender studies	Historical and Literary Studies; Historical and Literary Analyses; Shakespeare, Adaptation, and Literary Criticism	Social Sciences	Social Sciences	Anthropology	en	article
Creating Digital Materiality: Third-Wave Feminism, Public Art, and Yarn Bombing	2015	12	Alla Myzelev	1. Alla Myzelev	False	closed	https://openalex.org/W83352191; https://openalex.org/W2208488426; https://openalex.org/W2991820316; https://openalex.org/W2780230799; https://openalex.org/W2517023054; https://openalex.org/W597883452; https://openalex.org/W116761778; https://openalex.org/W3003218320; https://openalex.org/W618545294; https://openalex.org/W3185171854; https://openalex.org/W123471947; https://openalex.org/W2910682015; https://openalex.org/W3122979742; https://openalex.org/W2765968103; https://openalex.org/W2063072761; https://openalex.org/W82008771; https://openalex.org/W2043795090; https://openalex.org/W1001226537; https://openalex.org/W1808109599; https://openalex.org/W2229168169	Feminism; Scholarship; Sociology; Craft; Materiality (auditing); Realm; Empowerment; Politics; Gender studies; Media studies; Aesthetics; Political science; Visual arts; Law; Art	Crafts, Textile, and Design; Fashion and Cultural Textiles; Art, Politics, and Modernism	Social Sciences	Arts and Humanities	Museology	en	article
Feminism and the Marxist Movement	1994	8	Mary-Alice Waters	1. Mary-Alice Waters	False	closed	https://openalex.org/W3141688737; https://openalex.org/W3050826397; https://openalex.org/W2385779580; https://openalex.org/W1186446564; https://openalex.org/W1564888999; https://openalex.org/W2519355124; https://openalex.org/W1521061567; https://openalex.org/W2959154903; https://openalex.org/W2014938611; https://openalex.org/W3004280095; https://openalex.org/W2957196674; https://openalex.org/W1946733786; https://openalex.org/W2365866872; https://openalex.org/W2804716676; https://openalex.org/W2093016312; https://openalex.org/W2508690401; https://openalex.org/W2366692407; https://openalex.org/W2777770081; https://openalex.org/W3108338463; https://openalex.org/W2275274570	Feminism; Marxist philosophy; Movement (music); Gender studies; Sociology; Political science; Art; Aesthetics; Politics; Law	Political Economy and Marxism	Social Sciences	Social Sciences	Sociology and Political Science	en	book
Islam's (In)compatibility with the West?: Dress Code Restrictions in the Age of Feminism	2018	10	Lisa M. La Fornara	1. Lisa M. La Fornara	True	green	https://openalex.org/W2327610164; https://openalex.org/W2926990590; https://openalex.org/W4283158433; https://openalex.org/W2979332213; https://openalex.org/W153535209; https://openalex.org/W2480417175; https://openalex.org/W2620418183; https://openalex.org/W2317596408; https://openalex.org/W4283168091; https://openalex.org/W2188329761	Secularism; Feminism; Islamophobia; Paternalism; Faith; Authoritarianism; Legislation; Islam; Political science; Sociology; Gender studies; Law; Politics; Democracy; Philosophy; Theology	International Human Rights and Reproductive Law; Multiculturalism, Politics, Migration, Gender; Gender and Women's Rights	Social Sciences	Social Sciences	Political Science and International Relations	en	article
Disabled Women: An Excluded Agenda of Indian Feminism	2002	8	Anita Ghai	1. Anita Ghai	False	closed	https://openalex.org/W2509021874; https://openalex.org/W2348323645; https://openalex.org/W2031153046; https://openalex.org/W4386474015; https://openalex.org/W2904085016; https://openalex.org/W3137719812; https://openalex.org/W1491690647; https://openalex.org/W2727521746; https://openalex.org/W3006524281; https://openalex.org/W4366778920	Foregrounding; Feminism; Gender studies; Existentialism; Inclusion (mineral); Sociology; Movement (music); Disability studies; Feminist movement; Political science; Aesthetics; Art; Law; Literature	Disability Rights and Representation	Social Sciences	Social Sciences	Safety Research	en	article
Reading the Women's Weekly: Feminism, femininity and popular culture	2020	10	Susan Sheridan	1. Susan Sheridan	False	closed	https://openalex.org/W1560871187; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W2073040566; https://openalex.org/W2028291503; https://openalex.org/W4283774608; https://openalex.org/W1608472794; https://openalex.org/W4230473776; https://openalex.org/W2377144030	Femininity; Feminism; Reading (process); Popular culture; Gender studies; Art; Sociology; Literature; Philosophy; Linguistics	Gender, Feminism, and Media	Social Sciences	Social Sciences	Gender Studies	en	book-chapter
Molecular Feminisms: Biology, Becomings, and Life in the Lab	2018	7	Deboleena Roy	1. Deboleena Roy	True	green	https://openalex.org/W2909922468; https://openalex.org/W1996016548; https://openalex.org/W2144978479; https://openalex.org/W2034862713; https://openalex.org/W2906657835; https://openalex.org/W2627015856; https://openalex.org/W2784516355; https://openalex.org/W3022847009; https://openalex.org/W3153289370; https://openalex.org/W1121143130; https://openalex.org/W2150639561; https://openalex.org/W2549934794; https://openalex.org/W2128218911; https://openalex.org/W857474302; https://openalex.org/W3195522527; https://openalex.org/W2314421043; https://openalex.org/W603396272; https://openalex.org/W3158143219; https://openalex.org/W1898440351; https://openalex.org/W3205836835	Feminism; Conversation; Posthumanism; Sociology; Star trek; Technoscience; Epistemology; Philosophy; Media studies; Gender studies; Social science; Communication	Science Education and Perceptions; Neuroethics, Human Enhancement, Biomedical Innovations; Nanotechnology research and applications	Social Sciences	Psychology	Developmental and Educational Psychology	en	book
"After the ""Speculative Turn"": Realism, Philosophy, and Feminism"	2018	8	KaterinaKolozova; Eileen A. Joy	1. KaterinaKolozova; 2. Eileen A. Joy	True	hybrid	https://openalex.org/W2748952813; https://openalex.org/W2913877387; https://openalex.org/W4231070408; https://openalex.org/W2321377148; https://openalex.org/W2110431815; https://openalex.org/W943151747; https://openalex.org/W2048981943; https://openalex.org/W4319786914; https://openalex.org/W2753901553; https://openalex.org/W2379313737	Feminism; Turn (biochemistry); Realism; Epistemology; Philosophy; Sociology; Gender studies; Chemistry; Biochemistry	Critical Theory and Philosophy; Political Economy and Marxism	Social Sciences	Social Sciences	Sociology and Political Science	en	book
Islamic Feminisms: Rights and Interpretations Across Generations in Iran	2016	10	Roja Fazaeli	1. Roja Fazaeli	False	closed	https://openalex.org/W1533233278; https://openalex.org/W2124765543; https://openalex.org/W2896441763; https://openalex.org/W3026032476; https://openalex.org/W3100814363; https://openalex.org/W2804284109; https://openalex.org/W433415747; https://openalex.org/W2608568771; https://openalex.org/W2964539615; https://openalex.org/W3170998796; https://openalex.org/W2704470071; https://openalex.org/W1964599243; https://openalex.org/W2905603836; https://openalex.org/W2153308136; https://openalex.org/W1563493486; https://openalex.org/W2938704457; https://openalex.org/W590701398; https://openalex.org/W1971271280; https://openalex.org/W2950727198; https://openalex.org/W3037969548	Human rights; Appeal; Law; Islam; Political science; Sharia; International human rights law; Feminism; Sociology; Narrative; Context (archaeology); Constitution; Gender studies; Geography; Archaeology; Philosophy; Linguistics	Islamic Studies and History	Social Sciences	Social Sciences	Political Science and International Relations	en	book
Anti-Feminisms in Media Culture	2022	6	Michèle White; Diane Negra	1. Michèle White; 2. Diane Negra	False	closed	https://openalex.org/W4387497383; https://openalex.org/W3183948672; https://openalex.org/W3173606202; https://openalex.org/W3110381201; https://openalex.org/W2948807893; https://openalex.org/W2935909890; https://openalex.org/W2778153218; https://openalex.org/W2758277628; https://openalex.org/W2748952813; https://openalex.org/W1531601525	Sociology; Art	Gender, Feminism, and Media	Social Sciences	Social Sciences	Gender Studies	en	book
Reflections on Feminism and Immaterial labour	2010	9	Ángela McRobbie	1. Ángela McRobbie	False	closed	https://openalex.org/W3126546027; https://openalex.org/W2095688266; https://openalex.org/W2487232030; https://openalex.org/W85120564; https://openalex.org/W2333151510; https://openalex.org/W2109422186; https://openalex.org/W2183573922; https://openalex.org/W175993336; https://openalex.org/W884415495; https://openalex.org/W2419341025; https://openalex.org/W2281401463; https://openalex.org/W2013382030; https://openalex.org/W2182706062; https://openalex.org/W2019869375; https://openalex.org/W1583679655; https://openalex.org/W2595012330; https://openalex.org/W2303516591; https://openalex.org/W2337517638; https://openalex.org/W1991554368; https://openalex.org/W2249406859	Feminism; Invisibility; Gender studies; Politics; Sociology; Fordism; Political science; Law; Economics; Optics; Market economy; Physics	Labor Movements and Unions; Youth Education and Societal Dynamics; Digital Economy and Work Transformation	Social Sciences	Social Sciences	Public Administration	en	article
Discovering My Own African Feminism: Embarking on a Journey to Explore Kenyan Women's Oppression	2016	20	Kathomi Gatwiri; Helen McLaren	1. Kathomi Gatwiri; 2. Helen McLaren	True	green	https://openalex.org/W2966587321; https://openalex.org/W2571057947; https://openalex.org/W2955869820; https://openalex.org/W1494749839; https://openalex.org/W2036499069; https://openalex.org/W1532449827; https://openalex.org/W3027939904; https://openalex.org/W2597558369; https://openalex.org/W1481489105; https://openalex.org/W2058911253; https://openalex.org/W2810987697; https://openalex.org/W3203156888; https://openalex.org/W2606719589; https://openalex.org/W1973028461; https://openalex.org/W350237530; https://openalex.org/W1551261346; https://openalex.org/W2810078272; https://openalex.org/W2396103648; https://openalex.org/W2131057617; https://openalex.org/W2003906782	Oppression; Feminism; Gender studies; Sociology; White (mutation); Kenya; Identity (music); Politics; Political science; Aesthetics; Law; Biochemistry; Chemistry; Philosophy; Gene	Feminist Theory and Gender Studies; Environmental, Ecological, and Cultural Studies; American Political and Social Dynamics	Social Sciences	Social Sciences	Gender Studies	en	article
Feminism and Contemporary Debates in Egypt	2020	6	Nadje Al‐Ali	1. Nadje Al‐Ali	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Feminism; Gender studies; Sociology; Political science	Islamic Studies and History; Gender Politics and Representation; Middle East Politics and Society	Social Sciences	Social Sciences	Political Science and International Relations	en	book-chapter
Ecofeminism	1993	933	Maria Mies; Vandana Shiva	1. Maria Mies; 2. Vandana Shiva	False	closed	https://openalex.org/W2748952813; https://openalex.org/W4205731186; https://openalex.org/W2998574545; https://openalex.org/W3008512322; https://openalex.org/W2013076882; https://openalex.org/W4206467270; https://openalex.org/W1979597806; https://openalex.org/W2340891100; https://openalex.org/W3032949565; https://openalex.org/W2054645037	Ecofeminism; Sociology; Art history; Environmental ethics; Social science; Philosophy; History	Climate Change and Geoengineering	Physical Sciences	Environmental Science	Global and Planetary Change	en	book
